Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
22697994424,Kit ate 6 pares de meia/meias soquete térmica grossa flanelada fleece inverno frio intenso Império,"19,99",6mil+,BEST JESSY,3%,"R$0,60",https://shopee.com.br/product/1388170403/22697994424,https://s.shopee.com.br/9fHzCBhSTr
19424166010,Kit 4 Travesseiros de Manta com Fibra Mista Macia Travesseiro tnt,19,7mil+,Ponto belo Confecções,6%,"R$1,14",https://shopee.com.br/product/640413729/19424166010,https://s.shopee.com.br/AAEFn6fYSy
18699319983,Lanterna Super Potente Tática Mais Forte Do Mundo Potente Sitio Fazenda Acampamento Camping,"22,5",40mil+,LOJA 15 IMPORTADOS,7%,"R$1,58",https://shopee.com.br/product/915563136/18699319983,https://s.shopee.com.br/9zupangBnx
58256288846,Celular Galaxy A07 Tela 6.7 128GB 4G 90Hz Câmera Dupla 50MP Preto Samsung,"665,56",5mil+,Casas Bahia Oficial,3%,"R$19,97",https://shopee.com.br/product/1083800536/58256288846,https://s.shopee.com.br/AUr6BieHn4
22093160276,2025 Nova Série 8 Relógio T800 Ultra Smart Watch Esportivo Sem Fio À Prova D'água T800 Ultra2 MAX,"36,88",80mil+,-BML-,16%,"R$5,90",https://shopee.com.br/product/1180920205/22093160276,https://s.shopee.com.br/AKXfzPev83
22793684140,Tênis Feminino Esportivo Leve e mácio Academia Corrida,"29,5",20mil+,Dulojashoes,3%,"R$0,89",https://shopee.com.br/product/375051668/22793684140,https://s.shopee.com.br/8ATBPQnAWe
22597994429,Kit ate 6 pares de meias/meia soquete térmica grossa flanelada fleece inverno frio intenso,"19,99",659,BEST JESSY,3%,"R$0,60",https://shopee.com.br/product/1388170403/22597994429,https://s.shopee.com.br/809lD7nnrd
22197745981,Escova 3 Em 1 Vassoura Rodo Gap Limpeza Esfregão Mop Limpa,"15,88",30mil+,Sexto.Sentido,3%,"R$0,48",https://shopee.com.br/product/1229158295/22197745981,https://s.shopee.com.br/8V61o2ltqk
18299329397,Kit 3 pares Meia Calça Infantil Menina e Menino Diversas Estampas Super Confortável,"26,7",10mil+,GaGabom Shop,17%,"R$4,54",https://shopee.com.br/product/1041039897/18299329397,https://s.shopee.com.br/8KmbbjmXBj
58203349918,Sandália Feminina Chinelos de Praia Com Enfeites Luxo Confortável Eva,"35,99",20mil+,Tengfei Importadora,8%,"R$2,88",https://shopee.com.br/product/1424278396/58203349918,https://s.shopee.com.br/8pisCekdAq
18397679423,Mochila Mala Reforçada Notebook Impermeável Escolar Trabalho Oferta,"29,9",30mil+,Fenix Abdon,5%,"R$1,50",https://shopee.com.br/product/752743341/18397679423,https://s.shopee.com.br/8fPS0LlGVp
58254354508,"Kit de 1,2,3,4 6 Canetas Marcadoras Permanente Ponta Longa 20mm Para Madeira , Cerâmica E Construção","4,99",10mil+,ferramenta mil,3%,"R$0,15",https://shopee.com.br/product/1653736071/58254354508,https://s.shopee.com.br/9ALibGjMUw
22894246754,BODY SPLASH MASCULINO BARBARIUS 200ML - PRIMACIAL PERFUME AMADEIRADO,"28,45",30mil+,Primacial,7%,"R$1,99",https://shopee.com.br/product/1295467768/22894246754,https://s.shopee.com.br/902IOxjzpv
22492632177,Chinelo Nuvem Tradicional Unissex Macio e Cofortável,"5,89",10mil+,Alfa ,3%,"R$0,18",https://shopee.com.br/product/912462405/22492632177,https://s.shopee.com.br/6pxnoysFEW
22294382057,Camisola Renda Feminina Pijama Sexy Sensual Lingerie Conforto Linha Noite sem Bojo,"16,99",8mil+,Theantoniamodas,3%,"R$0,51",https://shopee.com.br/product/1234355161/22294382057,https://s.shopee.com.br/6feNcfssZV
22694645105,"TOYADENTEscova Dental TOYADENT Ultra Soft, Kit 3 Unidades, 5500+ Cerdas, Cores Vibrantes","17,9",10mil+,HEROI OFICIAL,9%,"R$1,61",https://shopee.com.br/product/1605400328/22694645105,https://s.shopee.com.br/7AaeDaqyYc
23694913081,Calça Pantalona Feminina Tecido texturado Calça Feminino Cintura Alta Pantalona Elegante,"39,99",9mil+,NAHELY STORE,11%,"R$4,40",https://shopee.com.br/product/1277805925/23694913081,https://s.shopee.com.br/70HE1Hrbtb
47757324104,Meia Calça Feminina Plus Size Térmica Grossa Super Elástica Translucida Super Stretch De Inverna,"23,98",10mil+,M.WU COMERCIO DIGITAL LTDA.,12%,"R$2,88",https://shopee.com.br/product/1366709144/47757324104,https://s.shopee.com.br/7VDUcCphsi
23795569799,Recarga de Queratina Meu Liso Restauração Intensa 80g,"10,2",80mil+,Salon Line,18%,"R$1,84",https://shopee.com.br/product/616222685/23795569799,https://s.shopee.com.br/7Ku4PtqLDh
23693118990,Kit 2000 Peças Bolsa Elástico De Cabelo Feminino Descartável Multicolorido,"4,99",20mil+,Bisdan Cosmeticos,3%,"R$0,15",https://shopee.com.br/product/986450286/23693118990,https://s.shopee.com.br/7pqL0ooRCo
22998640234,Luminária Solar Parede 21W LED Controle Remoto De Jardim À Prova D'água Indução Automática,"24,89",10mil+,C.W.L eletronicos,3%,"R$0,75",https://shopee.com.br/product/1384675821/22998640234,https://s.shopee.com.br/7fWuoVp4Xn
58209332437,Moedor Elétrico Café Grãos Inox 150W Multifuncional 110V 220V Compacto Potente Profissional,"41,99",997,Spotlight 82,8%,"R$3,36",https://shopee.com.br/product/1619784139/58209332437,https://s.shopee.com.br/5VSQEWxJwO
23492848273,Cobertor Casal 200x180 Antialérgico Estampado e Cor Lisa - Toque Macio - Manta Casal Sortido,"28,9",30mil+,CasaLauraEnxovais,13%,"R$3,76",https://shopee.com.br/product/296363855/23492848273,https://s.shopee.com.br/5L902DxxHN
22597557781,Meia-Calça Térmica Forrado Grosso Translúcido Leggings De Lã Quente Das Mulheres De Winte,"15,99",3mil+,MODA 2,3%,"R$0,48",https://shopee.com.br/product/1161906393/22597557781,https://s.shopee.com.br/5q5Gd8w3GU
22494928254,Blusa de frio do brasil moletom canguru torcedor brasileiro masculino e feminino unissex blusa com capuz e bolso,"68,99",58,JT SHOPP,23%,"R$15,87",https://shopee.com.br/product/1224529773/22494928254,https://s.shopee.com.br/5flqQpwgbT
